GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.knapsack,KSModel,0,80,0,6,0,17,0,7,0,4
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.knapsack,KSState,17,9,0,0,1,1,1,1,1,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.lns.core.solver.layered,LnsSolver,128,623,26,42,26,144,22,24,3,9
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.tsptw,TSPTWDdoModel,4,0,0,0,2,0,1,0,1,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.tsptw,TSPTWProblem,56,405,7,31,8,70,7,26,0,14
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.tsptw,TimeWindow,0,9,0,0,0,1,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.tsptw,TSPTWState,22,16,0,0,1,3,1,1,1,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.tsptw,TSPTWModel,0,92,0,12,0,21,0,10,0,4
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.nolayer,CostBased,0,137,2,8,0,20,2,6,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.gruler,GRState,6,96,3,5,2,13,4,9,1,8
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.gruler,GRRelax,0,50,0,2,0,13,0,4,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.gruler,GRFastLowerBound,0,29,0,6,0,10,0,5,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.gruler,GRRanking,0,9,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.gruler,GRProblem,70,272,5,15,6,50,5,19,0,14
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.util.debug,DebugLevel,0,21,0,0,0,4,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.util.debug,DebugUtil,49,178,4,8,12,32,5,8,2,5
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.msct,MSCTProblem,73,265,5,11,14,56,5,16,1,12
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.msct,MSCTFastLowerBound,0,42,0,2,0,8,0,3,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.msct,MSCTRelax,0,38,0,2,0,12,0,4,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.msct,MSCTRanking,0,9,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.msct,MSCTGenerator.MSCTData,9,0,0,0,1,0,1,0,1,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.msct,MSCTDominance,0,21,0,4,0,5,0,5,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.msct,MSCTState,0,17,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.frontier,SimpleFrontier,4,43,0,0,1,12,1,7,1,7
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.frontier,SimpleFrontier.SubProblemComparator,0,31,0,2,0,7,0,3,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.frontier,Frontier,0,7,0,2,0,1,0,2,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.frontier,CutSetType,0,15,0,0,0,3,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.layered,StateDistance,4,0,0,0,2,0,2,0,2,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.layered,CostBased,0,83,0,4,0,13,0,4,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.layered,CostBased.NodeSubroblemComparator,0,29,1,3,0,7,1,3,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.layered,GHP.ClusterNode,4,35,0,2,1,9,1,3,1,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.layered,GHP,14,333,2,30,4,73,3,19,1,5
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.layered,Hybrid,5,97,0,4,2,18,1,5,1,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.cluster.layered,RandomBased,50,0,2,0,12,0,4,0,3,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.compilation.layered,CompilationConfig,20,148,0,0,1,42,1,2,1,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core.heuristics.variable.layered,DefaultVariableHeuristic,0,8,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.astar.core.solver.nolayer,SubProblem,0,34,0,0,0,11,0,6,0,6
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.astar.core.solver.nolayer,AStarSolver,42,484,9,41,10,87,9,24,0,8
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.util,TSPLowerBound,3,138,1,17,1,34,2,11,1,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.util,DistanceUtil,178,0,14,0,38,0,14,0,7,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.util,SolverUtil,3,20,0,2,1,4,1,2,1,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.util,StateAndDepth,0,9,0,0,0,1,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.util,MathUtil,6,31,2,6,1,8,3,4,1,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.pigmentscheduling,PSProblem,54,582,3,53,13,87,5,39,2,14
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.pigmentscheduling,PSFastLowerBound,0,143,0,14,0,27,0,11,0,4
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.pigmentscheduling,PSRanking,14,3,0,0,3,1,1,1,1,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.pigmentscheduling,PSState,2,98,2,6,1,11,2,7,0,5
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.pigmentscheduling,PSRelax,163,81,25,11,26,17,15,9,2,4
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.pigmentscheduling,PSFastLowerBound.ItemDemand,0,9,0,0,0,1,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core,SubProblem,85,58,1,5,5,14,4,10,3,8
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.ddo.core,Decision,0,9,0,0,0,1,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.tsp,TSPState,0,76,0,6,0,14,0,8,0,5
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.tsp,TSPFastLowerBound,0,111,0,12,0,20,0,8,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.tsp,TSPRelax,0,44,0,2,0,12,0,4,0,3
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.tsp,TSPProblem,55,370,4,18,11,74,5,25,1,18
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.layered.tsp,TSPRanking,0,5,0,0,0,2,0,2,0,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.astar.core.solver.layered,AStarSolver.new Model() {...},0,18,0,0,0,4,0,4,0,4
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.astar.core.solver.layered,AStarSolver,22,721,8,52,3,131,8,33,0,11
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.awastar.core.solver.layered,AwAstarSolver.new AwAstarModel() {...},0,22,0,0,0,5,0,5,0,5
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.solving.awastar.core.solver.layered,AwAstarSolver,21,786,6,46,3,138,6,34,0,14
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.misp,MispModel,31,13,2,0,7,5,3,2,2,2
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.misp,MispProblem,25,326,3,29,3,61,3,25,0,12
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.misp,MispNoLayerDominanceChecker.Entry,0,11,0,0,0,4,0,1,0,1
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.misp,MispNoLayerDominanceChecker,44,116,11,13,13,23,7,10,0,5
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.misp,MispDdoModel,4,0,0,0,2,0,1,0,1,0
io.github.ddolib-cetic-ucl:ddolib,org.ddolib.examples.nolayer.misp,MispState,10,10,0,0,1,3,1,1,1,1
